,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day_of_week,day_of_month,month_of_year,quarter_of_year,year
0,2020-02-11 00:00:00-05:00,9517.8603515625,9517.8603515625,9517.8603515625,9517.8603515625,0,0.0,0.0,1,11,2,1,2020
1,2020-02-12 00:00:00-05:00,9613.2001953125,9613.2001953125,9613.2001953125,9613.2001953125,0,0.0,0.0,2,12,2,1,2020
2,2020-02-13 00:00:00-05:00,9595.7001953125,9595.7001953125,9595.7001953125,9595.7001953125,0,0.0,0.0,3,13,2,1,2020
3,2020-02-14 00:00:00-05:00,9623.580078125,9623.580078125,9623.580078125,9623.580078125,0,0.0,0.0,4,14,2,1,2020
4,2020-02-18 00:00:00-05:00,9629.7998046875,9629.7998046875,9629.7998046875,9629.7998046875,0,0.0,0.0,1,18,2,1,2020
5,2020-02-19 00:00:00-05:00,9718.73046875,9718.73046875,9718.73046875,9718.73046875,0,0.0,0.0,2,19,2,1,2020
6,2020-02-20 00:00:00-05:00,9627.830078125,9627.830078125,9627.830078125,9627.830078125,0,0.0,0.0,3,20,2,1,2020
7,2020-02-21 00:00:00-05:00,9446.6904296875,9446.6904296875,9446.6904296875,9446.6904296875,0,0.0,0.0,4,21,2,1,2020
8,2020-02-24 00:00:00-05:00,9079.6298828125,9079.6298828125,9079.6298828125,9079.6298828125,0,0.0,0.0,0,24,2,1,2020
9,2020-02-25 00:00:00-05:00,8834.8701171875,8834.8701171875,8834.8701171875,8834.8701171875,0,0.0,0.0,1,25,2,1,2020
10,2020-02-26 00:00:00-05:00,8873.759765625,8873.759765625,8873.759765625,8873.759765625,0,0.0,0.0,2,26,2,1,2020
11,2020-02-27 00:00:00-05:00,8436.669921875,8436.669921875,8436.669921875,8436.669921875,0,0.0,0.0,3,27,2,1,2020
12,2020-02-28 00:00:00-05:00,8461.830078125,8461.830078125,8461.830078125,8461.830078125,0,0.0,0.0,4,28,2,1,2020
13,2020-03-02 00:00:00-05:00,8877.98046875,8877.98046875,8877.98046875,8877.98046875,0,0.0,0.0,0,2,3,1,2020
14,2020-03-03 00:00:00-05:00,8594.490234375,8594.490234375,8594.490234375,8594.490234375,0,0.0,0.0,1,3,3,1,2020
15,2020-03-04 00:00:00-05:00,8949.2802734375,8949.2802734375,8949.2802734375,8949.2802734375,0,0.0,0.0,2,4,3,1,2020
16,2020-03-05 00:00:00-05:00,8671.66015625,8671.66015625,8671.66015625,8671.66015625,0,0.0,0.0,3,5,3,1,2020
