,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day_of_week,day_of_month,month_of_year,quarter_of_year,year
0,1973-05-08 00:00:00-04:00,0.07387369871139526,0.07387369871139526,0.07387369871139526,0.07387369871139526,28800,0.0,0.0,1,8,5,2,1973
1,1973-05-09 00:00:00-04:00,0.07387369871139526,0.07387369871139526,0.07387369871139526,0.07387369871139526,28800,0.0,0.0,2,9,5,2,1973
2,1973-05-10 00:00:00-04:00,0.07829022961847858,0.08310823887586594,0.07829022961847858,0.08310823887586594,172800,0.0,0.0,3,10,5,2,1973
3,1973-05-11 00:00:00-04:00,0.08310823887586594,0.08310823887586594,0.08310823887586594,0.08310823887586594,331200,0.0,0.0,4,11,5,2,1973
4,1973-05-14 00:00:00-04:00,0.08310823887586594,0.08310823887586594,0.08310823887586594,0.08310823887586594,0,0.0,0.0,0,14,5,2,1973
5,1973-05-15 00:00:00-04:00,0.08310823887586594,0.08310823887586594,0.08310823887586594,0.08310823887586594,316800,0.0,0.0,1,15,5,2,1973
6,1973-05-16 00:00:00-04:00,0.08310826462794475,0.08310826462794475,0.07829025387763977,0.07829025387763977,57600,0.0,0.0,2,16,5,2,1973
7,1973-05-17 00:00:00-04:00,0.07829025387763977,0.07829025387763977,0.07829025387763977,0.07829025387763977,86400,0.0,0.0,3,17,5,2,1973
8,1973-05-18 00:00:00-04:00,0.07387369871139526,0.07387369871139526,0.07387369871139526,0.07387369871139526,201600,0.0,0.0,4,18,5,2,1973
9,1973-05-21 00:00:00-04:00,0.07387367041538793,0.07387367041538793,0.06905612349510193,0.06905612349510193,100800,0.0,0.0,0,21,5,2,1973
10,1973-05-22 00:00:00-04:00,0.06905612349510193,0.06905612349510193,0.06905612349510193,0.06905612349510193,0,0.0,0.0,1,22,5,2,1973
11,1973-05-23 00:00:00-04:00,0.06905612349510193,0.06905612349510193,0.06905612349510193,0.06905612349510193,0,0.0,0.0,2,23,5,2,1973
12,1973-05-24 00:00:00-04:00,0.06905612349510193,0.06905612349510193,0.06905612349510193,0.06905612349510193,0,0.0,0.0,3,24,5,2,1973
13,1973-05-25 00:00:00-04:00,0.06905612349510193,0.06905612349510193,0.06905612349510193,0.06905612349510193,0,0.0,0.0,4,25,5,2,1973
14,1973-05-29 00:00:00-04:00,0.07387369871139526,0.07387369871139526,0.07387369871139526,0.07387369871139526,28800,0.0,0.0,1,29,5,2,1973
15,1973-05-30 00:00:00-04:00,0.06905612349510193,0.06905612349510193,0.06905612349510193,0.06905612349510193,115200,0.0,0.0,2,30,5,2,1973
16,1973-05-31 00:00:00-04:00,0.06905612349510193,0.06905612349510193,0.06905612349510193,0.06905612349510193,28800,0.0,0.0,3,31,5,2,1973
