,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day_of_week,day_of_month,month_of_year,quarter_of_year,year
47,1986-05-20 00:00:00-04:00,0.06809766789233507,0.06809766789233507,0.06702533165657698,0.06756149977445602,61977600,0.0,0.0,1,20,5,2,1986
48,1986-05-21 00:00:00-04:00,0.06756150381129394,0.06809767196120933,0.06648916751146317,0.06648916751146317,8092800,0.0,0.0,2,21,5,2,1986
49,1986-05-22 00:00:00-04:00,0.06648916751146317,0.06702533566137855,0.06648916751146317,0.06648916751146317,4406400,0.0,0.0,3,22,5,2,1986
50,1986-05-23 00:00:00-04:00,0.06648916751146317,0.06756150381129394,0.06648916751146317,0.06648916751146317,4089600,0.0,0.0,4,23,5,2,1986
51,1986-05-27 00:00:00-04:00,0.06648917412560301,0.06863384693861008,0.06648917412560301,0.06863384693861008,13881600,0.0,0.0,1,27,5,2,1986
52,1986-05-28 00:00:00-04:00,0.06863383167787607,0.0707785040140152,0.06863383167787607,0.0707785040140152,15523200,0.0,0.0,2,28,5,2,1986
53,1986-05-29 00:00:00-04:00,0.0707785363688577,0.07345999471786156,0.07024236803972542,0.07238765805959702,45676800,0.0,0.0,3,29,5,2,1986
54,1986-05-30 00:00:00-04:00,0.0729238012390357,0.07614081010435911,0.0729238012390357,0.07506847381591797,27072000,0.0,0.0,4,30,5,2,1986
55,1986-06-02 00:00:00-04:00,0.07506846676418859,0.07506846676418859,0.07292379438877106,0.07292379438877106,19728000,0.0,0.0,0,2,6,2,1986
56,1986-06-03 00:00:00-04:00,0.07292379438877106,0.07292379438877106,0.07185084149799041,0.07292379438877106,5011200,0.0,0.0,1,3,6,2,1986
57,1986-06-04 00:00:00-04:00,0.07292382638872928,0.07345999471786156,0.07185087302712224,0.07238765805959702,4723200,0.0,0.0,2,4,6,2,1986
58,1986-06-05 00:00:00-04:00,0.07238762436120436,0.07345996052026749,0.07185083957861739,0.07345996052026749,13708800,0.0,0.0,3,5,6,2,1986
59,1986-06-06 00:00:00-04:00,0.07345996052026749,0.07345996052026749,0.07238762436120436,0.07345996052026749,3427200,0.0,0.0,4,6,6,2,1986
60,1986-06-09 00:00:00-04:00,0.07345994759548291,0.07345994759548291,0.07024232298135757,0.07024232298135757,12672000,0.0,0.0,0,9,6,2,1986
61,1986-06-10 00:00:00-04:00,0.07024232298135757,0.07024232298135757,0.06916998701096476,0.07024232298135757,3427200,0.0,0.0,1,10,6,2,1986
62,1986-06-11 00:00:00-04:00,0.07024232298135757,0.07024232298135757,0.06916998701096476,0.07024232298135757,2304000,0.0,0.0,2,11,6,2,1986
63,1986-06-12 00:00:00-04:00,0.07024234036385124,0.07024234036385124,0.06702533165657698,0.06756149977445602,13708800,0.0,0.0,3,12,6,2,1986
64,1986-06-13 00:00:00-04:00,0.06756149977445602,0.06809766789233507,0.06702533165657698,0.06756149977445602,7891200,0.0,0.0,4,13,6,2,1986
