,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,day_of_week,day_of_month,month_of_year,quarter_of_year,year
24,2000-04-05 00:00:00-04:00,2.1235899925231934,2.1235899925231934,1.998669981956482,1.998669981956482,1001,0.0,0.0,0.0,2,5,4,2,2000
25,2000-04-06 00:00:00-04:00,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0,0.0,0.0,0.0,3,6,4,2,2000
26,2000-04-07 00:00:00-04:00,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0,0.0,0.0,0.0,4,7,4,2,2000
27,2000-04-10 00:00:00-04:00,1.998669981956482,1.998669981956482,1.8737499713897705,1.8737499713897705,2282,0.0,0.0,0.0,0,10,4,2,2000
28,2000-04-11 00:00:00-04:00,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,0,0.0,0.0,0.0,1,11,4,2,2000
29,2000-04-12 00:00:00-04:00,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,0,0.0,0.0,0.0,2,12,4,2,2000
30,2000-04-13 00:00:00-04:00,1.62391996383667,1.62391996383667,1.62391996383667,1.62391996383667,801,0.0,0.0,0.0,3,13,4,2,2000
31,2000-04-14 00:00:00-04:00,1.4989999532699585,1.4989999532699585,1.4989999532699585,1.4989999532699585,2402,0.0,0.0,0.0,4,14,4,2,2000
32,2000-04-17 00:00:00-04:00,1.3740899562835693,1.3740899562835693,1.249169945716858,1.249169945716858,1681,0.0,0.0,0.0,0,17,4,2,2000
33,2000-04-18 00:00:00-04:00,1.249169945716858,1.249169945716858,1.249169945716858,1.249169945716858,0,0.0,0.0,0.0,1,18,4,2,2000
34,2000-04-19 00:00:00-04:00,1.249169945716858,1.249169945716858,1.249169945716858,1.249169945716858,0,0.0,0.0,0.0,2,19,4,2,2000
35,2000-04-20 00:00:00-04:00,1.249169945716858,1.249169945716858,1.249169945716858,1.249169945716858,0,0.0,0.0,0.0,3,20,4,2,2000
36,2000-04-24 00:00:00-04:00,1.249169945716858,1.249169945716858,1.249169945716858,1.249169945716858,0,0.0,0.0,0.0,0,24,4,2,2000
37,2000-04-25 00:00:00-04:00,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,1201,0.0,0.0,0.0,1,25,4,2,2000
38,2000-04-26 00:00:00-04:00,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,600,0.0,0.0,0.0,2,26,4,2,2000
39,2000-04-27 00:00:00-04:00,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0,0.0,0.0,0.0,3,27,4,2,2000
40,2000-04-28 00:00:00-04:00,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0,0.0,0.0,0.0,4,28,4,2,2000
41,2000-05-01 00:00:00-04:00,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0,0.0,0.0,0.0,0,1,5,2,2000
42,2000-05-02 00:00:00-04:00,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0,0.0,0.0,0.0,1,2,5,2,2000
43,2000-05-03 00:00:00-04:00,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0,0.0,0.0,0.0,2,3,5,2,2000
44,2000-05-04 00:00:00-04:00,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0,0.0,0.0,0.0,3,4,5,2,2000
45,2000-05-05 00:00:00-04:00,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,801,0.0,0.0,0.0,4,5,5,2,2000
46,2000-05-08 00:00:00-04:00,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0,0.0,0.0,0.0,0,8,5,2,2000
47,2000-05-09 00:00:00-04:00,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0,0.0,0.0,0.0,1,9,5,2,2000
48,2000-05-10 00:00:00-04:00,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0,0.0,0.0,0.0,2,10,5,2,2000
49,2000-05-11 00:00:00-04:00,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0,0.0,0.0,0.0,3,11,5,2,2000
50,2000-05-12 00:00:00-04:00,1.3740899562835693,1.3740899562835693,1.3740899562835693,1.3740899562835693,0,0.0,0.0,0.0,4,12,5,2,2000
51,2000-05-15 00:00:00-04:00,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,1041,0.0,0.0,0.0,0,15,5,2,2000
52,2000-05-16 00:00:00-04:00,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,0,0.0,0.0,0.0,1,16,5,2,2000
53,2000-05-17 00:00:00-04:00,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,0,0.0,0.0,0.0,2,17,5,2,2000
54,2000-05-18 00:00:00-04:00,1.8737499713897705,1.998669981956482,1.8737499713897705,1.998669981956482,1241,0.0,0.0,0.0,3,18,5,2,2000
55,2000-05-19 00:00:00-04:00,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0,0.0,0.0,0.0,4,19,5,2,2000
56,2000-05-22 00:00:00-04:00,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0,0.0,0.0,0.0,0,22,5,2,2000
57,2000-05-23 00:00:00-04:00,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0,0.0,0.0,0.0,1,23,5,2,2000
58,2000-05-24 00:00:00-04:00,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0,0.0,0.0,0.0,2,24,5,2,2000
59,2000-05-25 00:00:00-04:00,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0,0.0,0.0,0.0,3,25,5,2,2000
60,2000-05-26 00:00:00-04:00,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0,0.0,0.0,0.0,4,26,5,2,2000
61,2000-05-30 00:00:00-04:00,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0,0.0,0.0,0.0,1,30,5,2,2000
62,2000-05-31 00:00:00-04:00,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0,0.0,0.0,0.0,2,31,5,2,2000
63,2000-06-01 00:00:00-04:00,1.4989999532699585,1.4989999532699585,1.4989999532699585,1.4989999532699585,600,0.0,0.0,0.0,3,1,6,2,2000
64,2000-06-02 00:00:00-04:00,1.4989999532699585,1.4989999532699585,1.4989999532699585,1.4989999532699585,0,0.0,0.0,0.0,4,2,6,2,2000
65,2000-06-05 00:00:00-04:00,1.4989999532699585,1.4989999532699585,1.4989999532699585,1.4989999532699585,0,0.0,0.0,0.0,0,5,6,2,2000
66,2000-06-06 00:00:00-04:00,1.4989999532699585,1.4989999532699585,1.4989999532699585,1.4989999532699585,0,0.0,0.0,0.0,1,6,6,2,2000
67,2000-06-07 00:00:00-04:00,1.62391996383667,1.62391996383667,1.62391996383667,1.62391996383667,921,0.0,0.0,0.0,2,7,6,2,2000
68,2000-06-08 00:00:00-04:00,1.62391996383667,1.62391996383667,1.62391996383667,1.62391996383667,0,0.0,0.0,0.0,3,8,6,2,2000
69,2000-06-09 00:00:00-04:00,1.998669981956482,2.248500108718872,1.998669981956482,2.248500108718872,1614,0.0,0.0,0.0,4,9,6,2,2000
70,2000-06-12 00:00:00-04:00,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,0,0.0,0.0,0.0,0,12,6,2,2000
71,2000-06-13 00:00:00-04:00,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,0,0.0,0.0,0.0,1,13,6,2,2000
72,2000-06-14 00:00:00-04:00,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,0,0.0,0.0,0.0,2,14,6,2,2000
73,2000-06-15 00:00:00-04:00,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,0,0.0,0.0,0.0,3,15,6,2,2000
74,2000-06-16 00:00:00-04:00,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,0,0.0,0.0,0.0,4,16,6,2,2000
75,2000-06-19 00:00:00-04:00,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,0,0.0,0.0,0.0,0,19,6,2,2000
76,2000-06-20 00:00:00-04:00,3.4976699352264404,3.4976699352264404,3.4976699352264404,3.4976699352264404,80,0.0,0.0,0.0,1,20,6,2,2000
77,2000-06-21 00:00:00-04:00,3.4976699352264404,3.4976699352264404,3.4976699352264404,3.4976699352264404,0,0.0,0.0,0.0,2,21,6,2,2000
78,2000-06-22 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,640,0.0,0.0,0.0,3,22,6,2,2000
79,2000-06-23 00:00:00-04:00,2.498339891433716,2.8730900287628174,2.498339891433716,2.8730900287628174,5916,0.0,0.0,0.0,4,23,6,2,2000
80,2000-06-26 00:00:00-04:00,2.8730900287628174,2.8730900287628174,2.8730900287628174,2.8730900287628174,0,0.0,0.0,0.0,0,26,6,2,2000
81,2000-06-27 00:00:00-04:00,2.623260021209717,2.623260021209717,2.623260021209717,2.623260021209717,80,0.0,0.0,0.0,1,27,6,2,2000
82,2000-06-28 00:00:00-04:00,2.623260021209717,2.623260021209717,2.623260021209717,2.623260021209717,0,0.0,0.0,0.0,2,28,6,2,2000
83,2000-06-29 00:00:00-04:00,2.623260021209717,2.623260021209717,2.623260021209717,2.623260021209717,0,0.0,0.0,0.0,3,29,6,2,2000
84,2000-06-30 00:00:00-04:00,2.623260021209717,2.623260021209717,2.623260021209717,2.623260021209717,0,0.0,0.0,0.0,4,30,6,2,2000
85,2000-07-03 00:00:00-04:00,2.623260021209717,2.623260021209717,2.623260021209717,2.623260021209717,0,0.0,0.0,0.0,0,3,7,3,2000
86,2000-07-05 00:00:00-04:00,2.623260021209717,2.623260021209717,2.623260021209717,2.623260021209717,0,0.0,0.0,0.0,2,5,7,3,2000
87,2000-07-06 00:00:00-04:00,2.623260021209717,2.623260021209717,2.623260021209717,2.623260021209717,0,0.0,0.0,0.0,3,6,7,3,2000
88,2000-07-07 00:00:00-04:00,2.623260021209717,2.623260021209717,2.623260021209717,2.623260021209717,0,0.0,0.0,0.0,4,7,7,3,2000
89,2000-07-10 00:00:00-04:00,2.623260021209717,2.623260021209717,2.623260021209717,2.623260021209717,0,0.0,0.0,0.0,0,10,7,3,2000
90,2000-07-11 00:00:00-04:00,2.623260021209717,2.623260021209717,2.623260021209717,2.623260021209717,0,0.0,0.0,0.0,1,11,7,3,2000
91,2000-07-12 00:00:00-04:00,3.24783992767334,3.24783992767334,3.24783992767334,3.24783992767334,40,0.0,0.0,0.0,2,12,7,3,2000
92,2000-07-13 00:00:00-04:00,2.623260021209717,2.623260021209717,2.623260021209717,2.623260021209717,400,0.0,0.0,0.0,3,13,7,3,2000
93,2000-07-14 00:00:00-04:00,2.623260021209717,2.623260021209717,2.498339891433716,2.498339891433716,480,0.0,0.0,0.0,4,14,7,3,2000
94,2000-07-17 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,0,0.0,0.0,0.0,0,17,7,3,2000
95,2000-07-18 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,0,0.0,0.0,0.0,1,18,7,3,2000
96,2000-07-19 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,0,0.0,0.0,0.0,2,19,7,3,2000
97,2000-07-20 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,0,0.0,0.0,0.0,3,20,7,3,2000
98,2000-07-21 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,0,0.0,0.0,0.0,4,21,7,3,2000
99,2000-07-24 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,0,0.0,0.0,0.0,0,24,7,3,2000
100,2000-07-25 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,0,0.0,0.0,0.0,1,25,7,3,2000
101,2000-07-26 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,80,0.0,0.0,0.0,2,26,7,3,2000
102,2000-07-27 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,0,0.0,0.0,0.0,3,27,7,3,2000
103,2000-07-28 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,0,0.0,0.0,0.0,4,28,7,3,2000
104,2000-07-31 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,600,0.0,0.0,0.0,0,31,7,3,2000
105,2000-08-01 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,0,0.0,0.0,0.0,1,1,8,3,2000
106,2000-08-02 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,0,0.0,0.0,0.0,2,2,8,3,2000
107,2000-08-03 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,0,0.0,0.0,0.0,3,3,8,3,2000
108,2000-08-04 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,0,0.0,0.0,0.0,4,4,8,3,2000
109,2000-08-07 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,0,0.0,0.0,0.0,0,7,8,3,2000
110,2000-08-08 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,0,0.0,0.0,0.0,1,8,8,3,2000
111,2000-08-09 00:00:00-04:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,0,0.0,0.0,0.0,2,9,8,3,2000
112,2000-08-10 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,120,0.0,0.0,0.0,3,10,8,3,2000
113,2000-08-11 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,4,11,8,3,2000
