Date,AAPL
2020-01-31,
2020-02-28,-11.679759385306133
2020-03-31,-6.976146139642269
2020-04-30,15.537376833534466
2020-05-29,8.216479118933172
2020-06-30,14.738625209703994
2020-07-31,16.513164135888214
2020-08-31,21.437973547842848
2020-09-30,-10.252632064388678
2020-10-30,-6.0012063679786065
2020-11-30,9.360648892406175
2020-12-31,11.457370046196779
2021-01-29,-0.5501512654364604
2021-02-26,-8.108520789058337
2021-03-31,0.7339595694947576
2021-04-30,7.621780656315291
2021-05-31,-5.210714859025678
2021-06-30,9.910926926429763
2021-07-30,6.498242888581318
2021-08-31,4.092966677445253
2021-09-30,-6.803663114322534
2021-10-29,5.86572653834474
2021-11-30,10.347129295214064
2021-12-31,7.422869961241929
2022-01-31,-1.5712161006040226
2022-02-28,-5.52695029727488
2022-03-31,5.747338768044963
2022-04-29,-9.713078663640829
2022-05-31,-5.588327243690561
2022-06-30,-8.142969239043229
2022-07-29,18.863365312951387
2022-08-31,-3.2551802750262815
2022-09-30,-12.097700117532085
2022-10-31,10.955137282179962
2022-11-30,-3.462891408248747
2022-12-30,-12.227255456849361
2023-01-31,11.05210607237126
2023-02-28,2.16231930220514
2023-03-31,11.864859778760506
2023-04-28,2.8987258679327166
2023-05-31,4.461343500104498
2023-06-30,9.433004920001764
2023-07-31,1.2785460184213004
2023-08-31,-4.367524542805268
2023-09-29,-8.867828198392369
2023-10-31,-0.25699575033695243
2023-11-30,11.231476369339344
2023-12-29,1.3582531574126255
2024-01-31,-4.222721100274951
2024-02-29,-1.9793893803127682
2024-03-29,-5.128633069134681
2024-04-30,-0.6706286010827567
2024-05-31,12.869135168968704
2024-06-28,9.555264040149547
2024-07-31,5.4410820337788435
2024-08-30,3.1159933861175215
2024-09-30,1.7467248908296984
2024-10-31,-3.0429168832148745
2024-11-29,5.055109549741799
2024-12-31,7.230440117016856
